Ruta,Orden,Latitud,Longitud
01: San Pedro de los Baños,1,19.55170381,-99.75627062
01: San Pedro de los Baños,2,19.55288339,-99.75715824
01: San Pedro de los Baños,3,19.56029667,-99.76109559
01: San Pedro de los Baños,4,19.5611435,-99.76127009
01: San Pedro de los Baños,5,19.56176408,-99.76137835
01: San Pedro de los Baños,6,19.56940215,-99.76007019
01: San Pedro de los Baños,7,19.57183758,-99.76012883
01: San Pedro de los Baños,8,19.57320192,-99.76025965
01: San Pedro de los Baños,9,19.57527603,-99.76091373
01: San Pedro de los Baños,10,19.58016598,-99.76303253
01: San Pedro de los Baños,11,19.60165036,-99.77291823
01: San Pedro de los Baños,12,19.61297213,-99.77566885
01: San Pedro de los Baños,13,19.61500749,-99.77579967
01: San Pedro de los Baños,14,19.61937634,-99.77697711
01: San Pedro de los Baños,15,19.62583237,-99.77867521
01: San Pedro de los Baños,16,19.62716053,-99.77931123
01: San Pedro de los Baños,17,19.6304151,-99.78010966
01: San Pedro de los Baños,18,19.63861232,-99.78219311
01: San Pedro de los Baños,19,19.64316972,-99.78328054
01: San Pedro de los Baños,20,19.64893452,-99.78705188
01: San Pedro de los Baños,21,19.66574146,-99.79910419
01: San Pedro de los Baños,22,19.65917585,-99.8024596
01: San Pedro de los Baños,23,19.6591801,-99.80246411
01: San Pedro de los Baños,24,19.65017828,-99.81150406
01: San Pedro de los Baños,25,19.64265376,-99.81968411
01: San Pedro de los Baños,26,19.65030066,-99.82671887
01: San Pedro de los Baños,27,19.65072257,-99.82680446
01: San Pedro de los Baños,28,19.65071407,-99.82680897
01: San Pedro de los Baños,29,19.65858207,-99.83454805
01: San Pedro de los Baños,30,19.65899413,-99.83457962
01: San Pedro de los Baños,31,19.65949539,-99.83423679
02: San Lorenzo de los Baños,1,19.55174398,-99.75630797
02: San Lorenzo de los Baños,2,19.55294144,-99.75721075
02: San Lorenzo de los Baños,3,19.55657185,-99.7591492
02: San Lorenzo de los Baños,4,19.56000987,-99.76095991
02: San Lorenzo de los Baños,5,19.560991,-99.76123708
02: San Lorenzo de los Baños,6,19.56173445,-99.76133571
02: San Lorenzo de los Baños,7,19.56937387,-99.76010972
02: San Lorenzo de los Baños,8,19.57288037,-99.76022204
02: San Lorenzo de los Baños,9,19.5755762,-99.76102217
02: San Lorenzo de los Baños,10,19.57973714,-99.76285515
02: San Lorenzo de los Baños,11,19.60152664,-99.77280608
02: San Lorenzo de los Baños,12,19.61287118,-99.77563983
02: San Lorenzo de los Baños,13,19.61669336,-99.77624265
02: San Lorenzo de los Baños,14,19.62117844,-99.77746766
02: San Lorenzo de los Baños,15,19.62589331,-99.7786695
02: San Lorenzo de los Baños,16,19.62752629,-99.77940959
02: San Lorenzo de los Baños,17,19.64325665,-99.78331932
02: San Lorenzo de los Baños,18,19.66575933,-99.79910665
02: San Lorenzo de los Baños,19,19.65924554,-99.80239108
02: San Lorenzo de los Baños,20,19.63937982,-99.82316273
02: San Lorenzo de los Baños,21,19.64156137,-99.84694799
02: San Lorenzo de los Baños,22,19.64305684,-99.84995207
02: San Lorenzo de los Baños,23,19.64655295,-99.84845003
02: San Lorenzo de los Baños,24,19.64728045,-99.84995207
02: San Lorenzo de los Baños,25,19.65293871,-99.84679779
03: San Cristóbal de los Baños,1,19.55178266,-99.75628699
03: San Cristóbal de los Baños,2,19.55308115,-99.75733321
03: San Cristóbal de los Baños,3,19.55762579,-99.75968083
03: San Cristóbal de los Baños,4,19.56035523,-99.76111121
03: San Cristóbal de los Baños,5,19.56158479,-99.76130846
03: San Cristóbal de los Baños,6,19.56158479,-99.76133881
03: San Cristóbal de los Baños,7,19.56160624,-99.76133122
03: San Cristóbal de los Baños,8,19.56664851,-99.76055295
03: San Cristóbal de los Baños,9,19.56943634,-99.760075
03: San Cristóbal de los Baños,10,19.57318528,-99.76024634
03: San Cristóbal de los Baños,11,19.57563927,-99.76105168
03: San Cristóbal de los Baños,12,19.57929182,-99.76273587
03: San Cristóbal de los Baños,13,19.58567209,-99.76567486
03: San Cristóbal de los Baños,14,19.58963991,-99.76746421
03: San Cristóbal de los Baños,15,19.5979397,-99.77125244
03: San Cristóbal de los Baños,16,19.60104144,-99.77267869
03: San Cristóbal de los Baños,17,19.60303539,-99.77330077
03: San Cristóbal de los Baños,18,19.61299772,-99.77572063
03: San Cristóbal de los Baños,19,19.61539447,-99.77585138
03: San Cristóbal de los Baños,20,19.62377969,-99.77815332
03: San Cristóbal de los Baños,21,19.62639503,-99.77891955
03: San Cristóbal de los Baños,22,19.62758835,-99.77952646
03: San Cristóbal de los Baños,23,19.62989638,-99.77997406
03: San Cristóbal de los Baños,24,19.63736328,-99.78183274
03: San Cristóbal de los Baños,25,19.64343056,-99.78344318
03: San Cristóbal de los Baños,26,19.70261943,-99.82427015
03: San Cristóbal de los Baños,27,19.71491909,-99.83207854
03: San Cristóbal de los Baños,28,19.72927706,-99.84140428
03: San Cristóbal de los Baños,29,19.73867446,-99.84452989
03: San Cristóbal de los Baños,30,19.73830315,-99.84468162
03: San Cristóbal de los Baños,31,19.72964839,-99.84213258
03: San Cristóbal de los Baños,32,19.72719184,-99.84440851
03: San Cristóbal de los Baños,33,19.72676337,-99.84653271
03: San Cristóbal de los Baños,34,19.72699189,-99.84811069
03: San Cristóbal de los Baños,35,19.71751145,-99.8572259
03: San Cristóbal de los Baños,36,19.708593,-99.87260111
03: San Cristóbal de los Baños,37,19.70708967,-99.87600235
03: San Cristóbal de los Baños,38,19.70653606,-99.87709289
03: San Cristóbal de los Baños,39,19.70589905,-99.87729137
03: San Cristóbal de los Baños,40,19.70324057,-99.87985357
04: La Concepción de los Baños,1,19.55168215,-99.75629164
04: La Concepción de los Baños,2,19.55299647,-99.75736452
04: La Concepción de los Baños,3,19.55586772,-99.75875927
